ШИМ =, 950,    ТОК = ,0.80,    ВЕС = ,2.22,    ОБОРОТОВ В МИНУТУ = ,10    , Напряжение питания =    ,24.63
ШИМ =, 1000,    ТОК = ,0.40,    ВЕС = ,3.29,    ОБОРОТОВ В МИНУТУ = ,0    , Напряжение питания =    ,24.73
ШИМ =, 1050,    ТОК = ,0.40,    ВЕС = ,0.93,    ОБОРОТОВ В МИНУТУ = ,0    , Напряжение питания =    ,24.78
ШИМ =, 1100,    ТОК = ,0.60,    ВЕС = ,0.44,    ОБОРОТОВ В МИНУТУ = ,0    , Напряжение питания =    ,24.73
ШИМ =, 1150,    ТОК = ,0.60,    ВЕС = ,1.00,    ОБОРОТОВ В МИНУТУ = ,0    , Напряжение питания =    ,24.75
ШИМ =, 1200,    ТОК = ,0.60,    ВЕС = ,2.07,    ОБОРОТОВ В МИНУТУ = ,0    , Напряжение питания =    ,24.73
ШИМ =, 1250,    ТОК = ,0.80,    ВЕС = ,5.97,    ОБОРОТОВ В МИНУТУ = ,0    , Напряжение питания =    ,24.75
ШИМ =, 1300,    ТОК = ,0.80,    ВЕС = ,0.30,    ОБОРОТОВ В МИНУТУ = ,0    , Напряжение питания =    ,24.65
ШИМ =, 1350,    ТОК = ,1.00,    ВЕС = ,2.42,    ОБОРОТОВ В МИНУТУ = ,0    , Напряжение питания =    ,24.65
ШИМ =, 1400,    ТОК = ,1.20,    ВЕС = ,0.21,    ОБОРОТОВ В МИНУТУ = ,0    , Напряжение питания =    ,24.68
ШИМ =, 1450,    ТОК = ,1.20,    ВЕС = ,0.93,    ОБОРОТОВ В МИНУТУ = ,0    , Напряжение питания =    ,24.73
ШИМ =, 1500,    ТОК = ,1.40,    ВЕС = ,2.40,    ОБОРОТОВ В МИНУТУ = ,0    , Напряжение питания =    ,24.58
ШИМ =, 1550,    ТОК = ,1.60,    ВЕС = ,2.03,    ОБОРОТОВ В МИНУТУ = ,0    , Напряжение питания =    ,24.60
ШИМ =, 1600,    ТОК = ,1.60,    ВЕС = ,0.33,    ОБОРОТОВ В МИНУТУ = ,0    , Напряжение питания =    ,24.65
ШИМ =, 1650,    ТОК = ,1.60,    ВЕС = ,-1.72,    ОБОРОТОВ В МИНУТУ = ,0    , Напряжение питания =    ,24.73
ШИМ =, 1700,    ТОК = ,1.80,    ВЕС = ,3.19,    ОБОРОТОВ В МИНУТУ = ,0    , Напряжение питания =    ,24.78
ШИМ =, 1750,    ТОК = ,1.80,    ВЕС = ,1.16,    ОБОРОТОВ В МИНУТУ = ,0    , Напряжение питания =    ,24.68
ШИМ =, 1800,    ТОК = ,2.00,    ВЕС = ,4.13,    ОБОРОТОВ В МИНУТУ = ,0    , Напряжение питания =    ,24.65
ШИМ =, 1850,    ТОК = ,2.00,    ВЕС = ,1.42,    ОБОРОТОВ В МИНУТУ = ,0    , Напряжение питания =    ,24.68
ШИМ =, 1900,    ТОК = ,2.20,    ВЕС = ,3.61,    ОБОРОТОВ В МИНУТУ = ,0    , Напряжение питания =    ,24.65
ШИМ =, 1950,    ТОК = ,2.20,    ВЕС = ,3.08,    ОБОРОТОВ В МИНУТУ = ,0    , Напряжение питания =    ,24.63
ШИМ =, 2000,    ТОК = ,2.20,    ВЕС = ,3.82,    ОБОРОТОВ В МИНУТУ = ,0    , Напряжение питания =    ,24.58
ШИМ =, 2050,    ТОК = ,2.40,    ВЕС = ,2.33,    ОБОРОТОВ В МИНУТУ = ,0    , Напряжение питания =    ,24.63
